Monat,Brand,Influencer,Zuständigkeit,Channel,Content,Status,Story_Public_Date,Reminder_oder__Teaser?,Wann?,Preis,Est._Views,CPM,Link_Klicks,Real_Views,Umsatz,ROAS,Beworbenes__Produkt
January,Stryve,plotterkrams,LS,ig,story inkl. rem.,done,2025-01-17,reminder,2025-01-19,600.0,20.0,30.0,,,,,
January,ImmoScout24,kleinstadtcoco,JT,ig,story,done,2025-01-17,nichts,,3.0,,,,,,,
January,Zahnheld,quintyna,LS,ig,story inkl. rem.,done,2025-01-20,reminder,2025-01-22,320.0,10000.0,32.0,,,,,
January,ImmoScout24,yasemin.bdx,LS,ig,story inkl. rem.,done,2025-01-21,reminder,2025-01-24,550.0,12.0,46.0,,,,,
January,Stryve,kimjulia,JT,ig,story,done,2025-01-22,nichts,,0.0,3.0,0.0,,,,,
January,Bauhaus,tina_mom_91,LS,ig,story,done,2024-01-23,nichts,,250.0,9.0,28.0,,,,,
January,Bauhaus,plotterkrams,LS,ig,story + teaser,done,2025-01-23,teaser,,680.0,20.0,34.0,588.235,,,,
January,ImmoScout24,agnes.a.rode,JT,ig,story,done,2025-01-24,nichts,,950.0,19.0,50.0,,,,,
January,Zahnheld,mrs.linchenn,JT,ig,story,done,2025-01-24,nichts,,250.0,,,,,,,
January,Zahnheld,kleiner.kaefer_,LS,ig,story inkl. rem.,done,2025-01-27,reminder,2025-01-29,150.0,4.0,38.0,,,,,
January,ImmoScout24,justabout.sabrina,JT,ig,story,done,2025-01-27,nichts,,1.0,,,,,,,
January,Zahnheld,zoelwe,LS,ig,story inkl. rem.,done,2025-01-28,reminder,2025-01-30,150.0,3000.0,50.0,120.0,,,,
January,Stryve,stephis.familienleben,LS,ig,story inkl. rem.,done,2025-01-28,reminder,2025-01-30,300.0,10.0,30.0,,,,,
January,Zahnheld,aenna_xoxo,JT,ig,story inkl. rem.,done,2025-01-29,reminder,,550.0,,,,,,,
January,Vonmählen,janinakindt,JT,ig,story,done,2025-01-29,nichts,,215.0,,,,,,,Handyhülle & Infinity Go
January,Bauhaus,tina_mom_91,LS,ig,story,done,2025-01-30,nichts,,250.0,9.0,28.0,,,,,
January,Bauhaus,der_flory,JT,ig,story,done,2025-01-30,nichts,,,,,,,,,
January,Zahnheld,justabout.sabrina,JT,ig,story,done,2025-01-30,nichts,,1.0,,,,,,,
January,ImmoScout24,dekokrams,JT,ig,story,done,2025-01-30,nichts,,800.0,,,,,,,
January,ImmoScout24,jonaswinkler,JT,ig,story,done,2025-01-30,nichts,,1.5,,,,,,,
January,ImmoScout24,eigenheimliebe,JT,ig,story,,2025-01-29,nichts,,1.45,,,,,,,
February,ImmoScout24,eimsbude,JT,ig,story,planned,2025-02-03,,,850.0,,,,,,,
February,Zahnheld,kathie_bt,LS,ig,story inkl. rem.,done,2025-02-03,reminder,2025-02-05,200.0,12.0,17.0,,,,,
February,Vonmählen,nathis_lifestyle,LS,ig,story inkl. rem.,done,2025-02-04,reminder,2025-02-06,,1.5,0.0,,,,,Evergreen Mag & Apple Watch Armbänder
February,Vonmählen,jacqueline.b_,LS,ig,story inkl. rem.,done,2025-02-04,reminder,2025-02-06,300.0,10.0,30.0,,,,,Handyhüllen
February,Vonmählen,tanjaweber,LS,ig,story inkl. rem.,done,2025-02-06,reminder,2025-02-02,550.0,28.0,20.0,,,,,
February,Vonmählen,lauras._kleinewelt,LS,ig,story inkl. rem.,done,2025-02-06,reminder,2025-02-08,200.0,5.0,40.0,,,,,
February,Vonmählen,fashionkitchen,LS,ig,story inkl. rem.,done,2025-02-06,reminder,2025-02-13,450.0,13.0,35.0,,,,,
February,Bauhaus,tina_mom_91,LS,ig,story,done,2025-02-06,nichts,,250.0,9.0,28.0,,,,,
February,Bauhaus,gluecksmutter,LS,ig,story inkl. rem.,done,2025-02-06,reminder,2025-02-09,450.0,10.0,45.0,,,,,
February,Bauhaus,buntehunde,SB,ig,story,done,2025-02-06,nichts,,450.0,16.0,28.0,,,,,
February,Bauhaus,maryxtastic ,SB,ig,story,done,2025-02-06,nichts,,300.0,7.0,43.0,,,,,
February,heideman,quintyna,LS,ig,story inkl. rem.,done,2025-02-10,reminder,2025-02-12,320.0,10000.0,32.0,,,,,
February,heideman,mrs_lindsay0206,LS,ig,story inkl. rem.,done,2025-02-11,reminder,2024-12-13,300.0,12000.0,25.0,,,,,
February,Vonmählen,lulunashka,LS,ig,story inkl. rem.,done,2025-02-12,reminder,2025-02-15,700.0,20.0,35.0,,,,,
February,Stryve,jacqueline.b_,LS,ig,story inkl. rem.,done,2025-02-12,reminder,2025-02-16,300.0,10.0,30.0,,,,,
February,Ameli,rheinemamas,LS,ig,story,done,2025-02-13,nichts,,0.0,10.0,0.0,,,,,
February,Ameli,eve.sauter,LS,ig,story,done,2025-02-13,nichts,,0.0,3.0,0.0,,,,,
February,Bauhaus,jacqueline.b_,LS,ig,story inkl. rem.,done,2025-02-13,reminder,2025-02-15,300.0,10.0,30.0,,,,,
February,Bauhaus,lauras._kleinewelt,LS,ig,story inkl. rem.,done,2025-02-13,reminder,2025-02-16,200.0,9.0,22.0,,,,,
February,Bauhaus,der_flory,JT,ig,story,done,2025-02-13,nichts,,0.0,20.0,0.0,,,,,
February,Vonmählen,justabout.sabrina,LS,ig,story inkl. rem.,done,2025-02-18,reminder,2025-02-20,750.0,20.0,38.0,,,,,
February,Vonmählen,_happy4family_,LS,ig,story inkl. rem.,done,2025-02-18,reminder,2025-02-19,30.0,1.0,30.0,,,,,
February,Bauhaus,songuel_sonrose,SB,ig,story,done,2025-02-20,nichts,,200.0,6.5,31.0,,,,,
February,Stryve,tanjaweber,LS,ig,story inkl. rem.,done,2025-02-20,reminder,2025-02-24,550.0,28.0,20.0,,,,,
February,Bauhaus,the_woodhouse_family,LS,ig,story inkl. rem.,done,2025-02-20,reminder,2025-02-22,300.0,13.0,23.0,,,,,
February,Bauhaus,mademoiselle.laura,LS,ig,story inkl. rem.,done,2025-02-20,reminder,,720.0,,0.0,,,,,
February,Bauhaus,eigenheimliebe,JT,ig,story,done,2025-02-20,nichts,,1.45,40.0,36.0,,,,,
February,Bauhaus,leicht.umsetzbar,LS,ig,story inkl. rem.,done,2025-02-20,reminder,2025-02-22,850.0,25.0,34.0,,,,,
February,Bauhaus,tina_mom_91,LS,ig,story,done,2025-02-20,reminder,,250.0,9.0,28.0,,,,,
February,Zahnheld,femily.hashtagt,JT,ig,story inkl. rem.,done,2025-02-21,reminder,2025-02-26,2.8,48.0,58.0,,,,,
February,Zahnheld,eigenheimliebe,JT,ig,story,done,2025-02-22,nichts,,1.45,40.0,36.0,,,,,
February,Vonmählen,the_woodhouse_family,LS,ig,story inkl. rem.,done,2025-02-24,reminder,2025-02-27,300.0,13.0,23.0,,,,,
February,Zahnheld,lauras._kleinewelt,LS,ig,story inkl. rem.,done,2025-02-24,reminder,2025-02-27,200.0,9.0,22.0,,,,,
February,Zahnheld,_happy4family_,LS,ig,story inkl. rem.,done,2025-02-24,reminder,2025-02-25,30.0,1.0,30.0,,,,,
February,Stryve,janinakindt,JT,ig,story,done,2025-02-25,nichts,,215.0,8.0,27.0,,,,,
February,Stryve,kathie_bt,LS,ig,story inkl. rem.,done,2025-02-26,reminder,2025-02-22,200.0,12.0,17.0,,,,,
February,305 Care,lauras._kleinewelt,SB,ig,story inkl. rem.,done,2025-02-23,reminder,2025-02-26,120.0,5.0,24.0,,,,,
February,305 Care,die_schens,SB,ig,story inkl. rem.,done,2025-02-28,reminder,2025-03-01,180.0,6.0,30.0,,,,,
February,305 Care,hashixmoto,SB,ig,story inkl. rem.,done,2025-02-28,reminder,2025-03-02,90.0,3.0,30.0,,,,,
March,Vonmählen,miss_schumiiiiandfamily,LS,ig,story inkl. rem.,done,2025-03-01,reminder,2025-03-03,900.0,25.0,36.0,,,,,Aura Home
March,Vonmählen,mrslavieestbelle,LS,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-08,660.0,20.0,33.0,,,,,Apple Watch Armbänder
March,305 Care,jacqueline.b.,SB,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-12,350.0,11.0,32.0,,,,,
March,305 Care,grueslimuesliciaokakao,SB,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-09,250.0,8.0,31.0,,,,,
March,Ameli,the_millenialsclub,LS,ig,story,done,2025-03-06,nichts,,0.0,6.0,0.0,,,,,
March,305 Care,marisa.hofmeister,SB,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-09,1.8,35.0,51.0,,,,,
March,TerraCanis,vera_intveen,SB,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-09,1.25,27.0,46.0,,,,,
March,TerraCanis,Jan_weinrich,SB,ig,story inkl. rem.,done,2025-03-06,reminder,2025-03-09,500.0,15.0,33.0,,,,,
March,Zahnheld,miss_schumiiiiandfamily,LS,ig,story inkl. rem.,done,2025-03-10,reminder,2025-03-13,900.0,25.0,36.0,,,,,
March,TerraCanis,ninakaempf,SB,ig,story inkl. rem.,done,2025-03-10,reminder,2025-03-13,1.9,45.0,42.0,,,,,
March,Ameli,stefanie.dechant,LS,ig,story,done,2025-03-12,nichts,,0.0,5.0,0.0,,,,,
March,Vonmählen,vanillalooove,LS,ig,story inkl. rem.,done,2025-03-12,reminder,2025-03-15,700.0,20.0,35.0,,,,,Apple Watch Armbänder: Milanese Loop 
3,TerraCanis,2.be.good.dads,SB,ig,story inkl. rem.,done,,reminder,2025-03-17,1.35,40.0,34.0,,,,,
March,Bauhaus,tina_mom_91,LS,ig,story,done,2025-03-13,nichts,,250.0,9.0,28.0,,,,,
March,Bauhaus,leicht.umsetzbar,LS,ig,story inkl. rem.,done,2025-03-13,reminder,,850.0,25.0,34.0,,,,,
March,Zahnheld,_moon_emma_,SB,ig,story inkl. rem.,done,2025-03-14,reminder,2025-03-17,400.0,15.0,27.0,,,,,
March,Zahnheld,karolina.deiss ,SB,ig,story inkl. rem.,done,2025-03-13,reminder,2025-03-18,1.7,50.0,34.0,,,,,
March,Vonmählen,jackys.familylife,LS,ig,story inkl. rem.,done,2025-03-14,reminder,2025-03-18,1.0,25.0,40.0,,,,,Fokus: Handyhülle & Evergreen Mag nebenbei
3,305 Care,endomood_,SB,ig,story inkl. rem.,done,,reminder,2025-03-17,50.0,2.5,20.0,,,,,
